t***2,2017/6/8 19:29,1717红色,43,鞋子非常时尚，穿着也很舒服，老公很喜欢！跟图片上一样漂亮！图片上的鞋子已经被穿了几天了，有点脏了！?,,,,,,
砍***孩,2017/6/7 22:03,1717红色,41,鞋子收到了，抱歉这么久才评论，质量还是不错的，这个季节穿着挺舒服，样子也不错，而且价格可以，值得一买,,,,,,
东***头,2017/6/7 22:57,1300黑白,43,评论有点迟，不过这样才更有话语权，经过一段时间的使用，更加能发现此鞋的优点，不仅帅气耐穿，而且真的很舒服，也不捂脚，十足的休闲范儿！,,,,,,
t***2,2017/6/12 16:05,1793黑金,40,50块能买到这么合适的鞋子 真心觉得特别的值得！里面还有香包 一开盒子香气扑鼻！宝贝非常的好 祝店主大卖！,,,,,,
我***0,2017/6/8 15:45,1717黑色,42,穿着感觉是挺不错的，鞋子挺好看的，穿着很轻的感觉，夏天穿不会太闷，也不容易有脚臭，50块很便宜了，物美价廉，但是还是希望多出点新的款式，会比较好&hellip;,,,,,,
没***海,2017/6/12 17:13,5570黑红,40,穿着感觉是挺不错的，鞋子挺好看的，穿着很轻的感觉，夏天穿不会太闷，也不容易有脚臭，50块很便宜了，物美价廉，还是希望多出点新的款式，比较好&hellip;,,,,,,
a***9,2017/6/1 10:54,A877白红,43,价格实惠，料子是帆布的，透气性好，大热天的穿个皮鞋两个脚丫子跟在蒸桑拿一样。?还是穿个帆布鞋好点，几十块钱看着还不错，,,,,,,
勇***1,2017/6/12 11:00,1717黑色,42,鞋子收到很不错，是我喜欢?款式，鞋子也很软，不打脚的，朋友都说穿起来很好看都要来买呢，特别是老板服务很好啊，谢谢你的礼物哦，非常满意,,,,,,
s***p,2017/6/7 18:08,838黑红,43,第二次购买按平常穿的尺码拍大了两码  垫上鞋垫很合适了   颜色很喜欢,,,,,,
然***悦,2017/6/12 11:27,1717黑色,41,不错，很满意，特别满意，等下次再来买，多推荐朋友来购买，确实很划算，质量也不错，穿着也很舒服！！！,,,,,,
额***宝,2017/6/9 16:47,838黑金,43,不好意思，现在才评价。我是给儿子买的，害怕这个鞋的质量不好，没想到鞋的面料挺好，码子也正好，很满意得一次购物！有需要了再来买,,,,,,
x***2,2017/6/8 20:44,1717白绿,43,鞋子很好看，穿上也非常舒服，穿着去巴厘岛，走路也特别轻松，不输大牌,,,,,,
l***4,2017/6/8 9:09,A877白绿,43,鞋子看起来挺漂亮的，是布的，刚穿，，，挺合脚，，后续再来评价，，，,,,,,,
太***衍,2017/6/11 18:52,X6灰色,39,收到鞋子很惊喜，没想到这样的价格买到这么超值的鞋子，外观质量都满意，五星好评,,,,,,
凉***l,2017/6/3 21:51,1300黑色,39,质量不错    鞋子是比较透气的面料    类似网鞋    但是鞋子的整体款式还是比较简单的    穿着很舒服   大小也合适   弟弟很喜欢,,,,,,
小***6,2017/6/9 19:22,D01白色,40,鞋子很不错，穿着舒服，很适合搭配一些夏天穿的蓝色牛仔裤，非常喜欢，五颗星,,,,,,
t***5,2017/6/10 17:02,3399黑金,42,穿了一天了，很不错，这价格能买到这种质量，有点惊喜的感觉。平常穿42码的鞋，这次拍的也是42码的，很合脚，赞一个,,,,,,
姜***乾,2017/6/9 10:19,3399黑红,42,尺码：鞋大小合适，号码标准，鞋底很有弹性，穿着很舒适。。,,,,,,
钢***镝,2017/6/12 11:29,838黑白,42,尺码：是正品，质量非常好，款式漂亮，穿着舒服，特别轻，走路一点也不累，没有难闻的气味，性价比很高，与卖家描述的一样，发货快，卖家态度特别好 好 热情 挺好的！。,,,,,,
欣***1,2017/6/12 15:56,2299黑金,41,是正品，质量非常好，款式漂亮，穿着舒服，特别轻，走路一点也不累，没有难闻的气味，性价比很高，与卖家描述的一样，发货快，卖家态度特别好 好 热情 挺好的,,,,,,
h***5,2017/6/9 21:58,1717黑金,44,宝贝收到了，打开鞋盒的那一刻，一下子惊呆了！！！！质量非常棒，么么哒！做工细致，设计合理，舒适度很好，鞋底很软，透气性很强，颜色漂亮，喜欢，大爱&hellip;&hellip;&hellip;！,,,,,,
t***1,2017/6/8 19:15,1717棕色,40,第一次买鞋子，鞋子也正常合适，我老婆说都说好看，宝贝跟图片描述很好，非常值得购买，,,,,,,
爱***福,2017/6/9 12:46,1717红色,42,还不错，穿了半个月没有任何破损，还挺透气的，外挂还可以，喜欢的可以考虑一下。,,,,,,
娄***阳,2017/6/11 11:00,1717棕色,39,物超所值，物美价廉，很不错！鞋子比我想象中的好很多，刚开始还有点味道，过几天味道就散了，穿着很舒适，也很帅气！本来以为几十块的鞋子就这样了，没想到给了我惊喜，很好，值得推荐～,,,,,,
海***悦,2017/6/8 20:20,A877黑白,40,鞋子还不错，穿着也挺舒服，就是不知道能穿多久，质量到底怎么样穿穿才知道，是我喜欢的款型帆布鞋！若果好下次还买，物流很快！,,,,,,
q***1,2017/6/7 19:38,1717白黑,41,这是我买得最实惠的鞋子，尺码大小刚好,,,,,,
潇***0,2017/6/12 11:00,1933黑红,39,给老公买的这款，他喜欢的不要不要的，说总算给他买了一件还不错的宝贝。穿着很舒服。洗了一次也还挺好。,,,,,,
黄***丶,2017/6/1 11:03,838黑白,43,鞋子质量还是不错，比较实惠 相对实体店来说还是这里好，总得说各方面斗很好，夏天来穿也不会太热，下次有需要还会来，很愉快的一次购物。,,,,,,
t***东,2017/6/11 17:32,1793黑金,43,鞋子最满意的地方是很轻快。黑色沾点土就很明显。,,,,,,
m***你,2017/6/3 16:08,1717黑金,43,鞋子很有型，颜色搭配很漂亮，鞋底很软，穿着舒适！价廉物美！卖家还贴心的放了薰衣草的香包，一打开香香的，还送了袜子。,,,,,,
奶***地,2017/6/8 0:32,2323白绿,41,！大小正好，然后鞋子穿上挺舒服的，值得这家是老店阿，第二次买了，值得。,,,,,,
a***9,2017/6/9 10:33,X6灰色,42,挺好额额额，当天九发货了，而且很快就到了，很文艺的鞋子哦。就是我穿着容易弄脏。不过用刷子一刷就变新了，期待能穿就一点。,,,,,,
小***国,2017/6/3 13:48,1717黑色,43,很好的一款布鞋，透气性好，款式很酷，价格不贵，谢谢卖家推荐尺码合脚，脚板宽平时穿42，这次拍大一码43码正好，下次还会关注，给五星好评！,,,,,,
嘉***6,2017/6/8 20:57,1717白绿,40,百搭鞋，质量上乘品，绝对的划算对于这个价钱来说！赶紧下手吧（重点是百搭鞋）,,,,,,
幸***缘,2017/6/7 18:31,006黑红,41,006黑红，情侣款为其中的男款，尺码为41 鞋底有弹性且比较耐折 卖家和物流公司的服务都很给力,,,,,,
l***8,2017/6/8 13:48,1717黑色,40,鞋子的款式不错，怪自己买小了一码！顶脚，赖得换了！物流快！果断直接好评！,,,,,,
呈***5,2017/6/10 8:22,1717棕色,41,穿上效果不错，女朋友说好看，自己喜欢就好。,,,,,,
